uf,municipio,codigo_ibge,ano,valor_investimento,valor_desbloqueado,valor_desembolsado,valor_empenhado
PE,RECIFE,2611606.0,2017.0,281438.53,0.0,0.0,245850.0
PE,RECIFE,2611606.0,2017.0,3942812.4299999997,0.0,0.0,0.0
PE,RECIFE,2611606.0,2017.0,250000.0,0.0,0.0,0.0
PE,RECIFE,,,250000.0,0.0,0.0,0.0
PE,RECIFE,,,225857.14,0.0,0.0,222857.14
PE,RECIFE,2611606.0,2018.0,225000.0,0.0,0.0,0.0
PE,RECIFE,2611606.0,2018.0,225000.0,0.0,0.0,0.0
PE,RECIFE,2611606.0,2019.0,670881.23,0.0,625514.72,625514.72
PE,RECIFE,2611606.0,2019.0,357737.0,188647.33,355737.0,355737.0
PE,RECIFE,2611606.0,2019.0,3828000.0,2740541.11,3820000.0,3820000.0
PE,RECIFE,2611606.0,2020.0,775341.0,715421.11,767341.0,767341.0
PE,RECIFE,2611606.0,2020.0,1210227.0,787999.38,1162550.0,1162550.0
PE,RECIFE,2611606.0,2020.0,959644.44,0.0,0.0,0.0
PE,RECIFE,2611606.0,2020.0,960979.98,443112.86,951269.92,960019.0
PE,RECIFE,2611606.0,2020.0,500000.0,379694.9,481104.0,481104.0
PE,RECIFE,2611606.0,2021.0,247000.0,0.0,0.0,238856.0
PE,RECIFE,2611606.0,2021.0,513638.97000000003,0.0,0.0,512611.69
PE,RECIFE,2611606.0,2021.0,829351.88,0.0,0.0,827693.18
PE,RECIFE,2611606.0,2021.0,359528.81,0.0,0.0,358809.75
PE,RECIFE,,,807341.0,0.0,0.0,767341.0
PE,RECIFE,2611606.0,2022.0,19192119.24,0.0,0.0,19153735.0
PE,RECIFE,2611606.0,2023.0,14386757.0,0.0,0.0,14357757.0
PE,RECIFE,2611606.0,2024.0,932719.63,0.0,0.0,930719.63
